,Nationality,Country.of.Nationality,Arrivals,Air,Sea,Rail,Road,Male,Female,X0...14.years,X15...24.years,X25...34.years,X35...44.years,X45...54.years,X55...64.years,X65.and.Above.years,Business.and.Professional,Leisure.Holiday.and.Recreation,Medical,Indian.Diaspora,Others,Average.duration.of.stay..in.days.
46,West Asia,Israel,58131,98.8,0.2,0,1,61.6,38.4,3.4,18.6,20.3,16.9,16.5,15.1,9.2,27.21,69.27,0.02,2.6,0.9,26.8
47,West Asia,Oman,107217,100,0,0,0,62.4,37.6,12.1,10,25,21.7,14.2,10.7,6.3,1.6,69.74,26.26,1.9,0.5,10.9
48,West Asia,Saudi Arabia,52976,100,0,0,0,78,22,8.9,11.7,24.8,20.8,18,11.1,4.7,4.47,80.79,9.03,4.27,1.45,17.1
49,West Asia,Turkey,33251,98.1,1.6,0,0.2,60.3,39.7,1,4.7,41.2,27.6,14.7,8,2.8,56.75,37.6,0.26,2.5,2.89,13
50,West Asia,U.A.E.,67238,100,0,0,0,49.5,50.5,15.9,11.9,19.5,17.3,14.3,13.4,7.8,1.87,94.64,0.76,2.34,0.4,11.7
51,West Asia,Yemen Arab Rep.,21695,99.7,0.1,0,0.2,72.6,27.4,8.1,19.5,21.6,20.2,14.5,10.7,5.3,5.13,20,54.87,7.23,12.77,65.6
52,West Asia,Others,44258,99.1,0.9,0,0,67.9,32.1,4.9,9.3,26.4,22.5,18.7,13,5.2,18.28,68.93,3.78,5.24,3.77,14.3
53,West Asia,Total,457760,99.6,0.2,0,0.2,64.2,35.8,8.6,11.5,24.1,20.4,16.5,12.5,6.4,9.94,62.66,21.93,3.34,2.13,18.9
54,South Asia,Afghanistan,149176,100,0,0,0,69.2,30.8,12.2,18.9,28.5,16.6,11.5,8.2,4.1,4.24,43.57,37.33,8.73,6.13,27.4
55,South Asia,Bangladesh,2156557,14.4,0,12.7,72.9,70.5,29.5,7.1,9.5,21.7,25.6,20.2,11.3,4.6,4.66,83.7,10.28,0.67,0.66,14.5
56,South Asia,Bhutan,25267,87.6,0,0,12.4,56.7,43.3,3.2,17.8,31,20.4,14.7,8.2,4.7,0,70.42,0,19.72,9.86,21.6
57,South Asia,Iran,42641,99.7,0.2,0,0.1,50.2,49.8,6.7,9.2,26.4,22.4,16.9,12.6,5.8,5.86,80.06,0.25,5.83,7.99,23.5
58,South Asia,Maldives,66150,100,0,0,0,52.1,47.9,12.8,10.4,22.3,19.6,17.4,10.9,6.6,5.68,1.43,68.56,10.49,13.83,20.8
59,South Asia,Nepal,164018,97.4,0,0,2.6,67.4,32.6,3.8,18.3,27.9,23,15.9,7.7,3.3,6.08,73.48,0.28,12.15,8.01,33.2
60,South Asia,Pakistan,44266,11.8,0.2,39.7,48.3,54.6,45.4,16.8,12.7,15.2,15.6,16.8,13.3,9.6,6.85,26.98,4.03,1.37,60.77,28.4
61,South Asia,Sri Lanka,303590,90.8,0.2,0,9,54.5,45.5,5.1,7.8,14.4,17.7,20.1,21,13.9,16.95,68.16,1.46,10.8,2.63,15.5
62,South Asia,Total,2951665,34.7,0.1,9.9,55.2,67.5,32.5,7.2,10.4,21.7,23.8,19.3,11.9,5.6,6.07,78.42,10.79,2.39,2.33,15.7
63,South East Asia,Indonesia,43973,96.2,2.7,0,1.2,57.7,42.3,2.7,9.7,27.6,25.9,19.6,10.6,3.9,20.76,61.87,0.57,13.93,2.87,23.3
64,South East Asia,Malaysia,322126,99.3,0.4,0,0.4,52.1,47.9,8,11,19.9,19.9,18.8,15.6,6.8,7.05,76.01,0.14,14.36,2.44,13.9
65,South East Asia,Myanmar,56952,77.4,3.4,0,19.2,44.9,55.1,1.6,5,13.4,16,21.7,25.5,16.9,5.79,85.57,3.14,2.43,3.07,15.2
66,South East Asia,Philippines,53963,78.8,21.1,0,0.1,51,49,2.4,8.8,37.8,28.7,15.2,6,1,26.81,43.63,0.56,8.32,20.67,18.4
